,row ID,row m/z,match_id,match_smiles,mps0,pp0,pair_similarity0,mps1,pp1,pair_similarity1,mps2,pp2,pair_similarity2
20,2,449.2238687,CNP0199754,O=C(N(C)CC=1C=CC=CC1)C(C)C2CCC3(C)CC=4SC(=NC4C(C)C3C2O)C,1.0,0.014084507042253521,0.001507482724264264,4.0,0.056338028169014086,0.00875836523482576,4.0,0.056338028169014086,0.006205489335115999
21,2,449.2238687,CNP0249108,O=C(NC1C(C=2C=CC=CC2)N(C(=O)C(CC)CC)CCC1(O)C)C3=CC=C(F)C=C3,1.0,0.014084507042253521,0.004729040898382664,3.0,0.04225352112676056,0.005760791595093906,2.0,0.028169014084507043,0.005019860691390932
22,2,449.2238687,CNP0467958,O=C(O)C(O)(CC(=O)NCCCN(O)C(=O)C)CC(=O)NCCCCCN(O)C(=O)C,9.0,0.1267605633802817,0.4182702876860276,16.0,0.22535211267605634,0.4081900137825869,14.0,0.19718309859154928,0.17332888126838952
23,2,449.2238687,CNP0471505,O=C(NCCN1CCOCC1)C2CC(O)C(O)C3NC(=S)N(C=4C=C(C=C(C4)C)C)C23,1.0,0.014084507042253521,0.175296813249588,1.0,0.014084507042253521,0.15340113639831543,6.0,0.08450704225352113,0.0964997936389409
24,3,462.1715916,CNP0405730,O=C1C(=CC=C2N1CC3CN(C(=O)CCOC)CC2C3)NS(=O)(=O)C4=CC=C(OC)C=C4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.125,0.014024874661117792
25,3,462.1715916,CNP0076838,O=C(OC)C(NC(=O)C1N(CCNC1)S(=O)(=O)C=2C=CC=CC2)CC3=CC=C(OC)C=C3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,0.012090077623724937
26,3,462.1715916,CNP0004827,O=C(N(C)C)CN1C(=O)COC(C2=CC=C(C=C2)NS(=O)(=O)CC=3C=CC=CC3)C1CO,1.0,0.0625,0.046286601573228836,1.0,0.0625,0.029995828866958618,2.0,0.125,0.041547331027686596
27,3,462.1715916,CNP0005963,O=C(C1=CC=C(Cl)C=C1)N2CC3N(CCOC3)C4(C2)CN(C4)C5CCC(F)(F)CC5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,0.0427844375371933
28,3,462.1715916,CNP0007891,O=C(NC1=CSC=C1)NCC2OC3CC(OC3C2O)CC(=O)NCC4=CC=C(OC)C=C4,1.0,0.0625,0.033463265746831894,2.0,0.125,0.04893975332379341,3.0,0.1875,0.07216755300760269
29,3,462.1715916,CNP0461527,O=C(OCC)C1CCN(CC2=C(O)C=C(C=3C(=O)C(OC32)=CC4=CC=C(F)C=C4)C)CC1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1875,0.03811893961392343
30,3,462.1715916,CNP0037956,O=C(OC1=CC=C2C(OC(=CC3=CC=C(C=C3)CC)C2=O)=C1)N(C=4C=CC=CC4)C=5C=CC=CC5,0.0,0.0,0.0,1.0,0.0625,0.05918099731206894,2.0,0.125,0.06334177311509848
31,3,462.1715916,CNP0027097,O=C(N)C(NC(=O)C1(O)CC(O)C(O)C(NC(=O)CC=2SC=CC2)C1)CC=3C=CC=CC3,2.0,0.125,0.053733774460852146,2.0,0.125,0.043450518511235714,5.0,0.3125,0.13445308583322912
